<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.07.14	14:15:00	177885	177895	177755	177805	19200	197160	0
2026.07.14	14:30:00	177805	177895	177755	177815	19985	188967	0
2026.07.14	14:45:00	177815	178015	177770	177810	26156	258373	0
2026.07.14	15:00:00	177805	178005	177805	177975	22689	217544	0
2026.07.14	15:15:00	177975	178085	177865	178065	22215	222236	0
2026.07.14	15:30:00	178070	178170	177970	178125	25184	266342	0
2026.07.14	15:45:00	178130	178515	178120	178460	39866	391277	0
2026.07.14	16:00:00	178460	178595	178395	178425	28417	273336	0
2026.07.14	16:15:00	178430	178470	178230	178320	24179	242388	0
2026.07.14	16:30:00	178315	178395	178185	178365	21297	216121	0
2026.07.14	16:45:00	178365	178565	178360	178485	23655	253170	0
2026.07.14	17:00:00	178485	178660	178405	178440	23214	234647	0
2026.07.14	17:15:00	178440	178445	178360	178395	12243	103283	0
2026.07.14	17:30:00	178390	178580	178385	178465	16532	148666	0
2026.07.14	17:45:00	178465	178560	178440	178525	8544	73142	0
2026.07.14	18:00:00	178520	178550	178320	178375	11513	91181	0
2026.07.14	18:15:00	178375	178395	178260	178285	5346	41322	0
2026.07.14	18:30:00	178200	178200	178200	178200	62	21709	0
2026.07.15	09:00:00	178050	178050	176980	177855	385537	1148321	1
2026.07.15	09:15:00	177850	178135	177685	178015	182297	559599	1
2026.07.15	09:30:00	178015	178575	177775	178525	244355	742555	1
2026.07.15	09:45:00	178530	178665	178315	178425	175560	559772	1
2026.07.15	10:00:00	178425	178500	177675	177695	336533	1082733	1
2026.07.15	10:15:00	177695	178175	177620	177890	259040	830062	1
2026.07.15	10:30:00	177890	178160	177430	177455	249508	823915	1
2026.07.15	10:45:00	177450	177895	177365	177755	201779	671435	1
2026.07.15	11:00:00	177750	178080	177650	177950	154843	533883	1
2026.07.15	11:15:00	177950	178050	177350	177525	197799	707829	1
2026.07.15	11:30:00	177525	177915	177455	177655	152854	555884	1
2026.07.15	11:45:00	177650	177980	177530	177885	142639	534987	1
2026.07.15	12:00:00	177885	178130	177830	177835	116754	428603	1
2026.07.15	12:15:00	177835	177940	177575	177685	116339	433271	1
2026.07.15	12:30:00	177690	177690	177390	177440	89074	341409	1
2026.07.15	12:45:00	177445	177575	177405	177480	72212	269406	1
2026.07.15	13:00:00	177475	177560	177330	177345	81845	298326	1
2026.07.15	13:15:00	177345	177415	177205	177310	77928	300306	1
2026.07.15	13:30:00	177305	177365	177245	177330	55515	210375	1
2026.07.15	13:45:00	177325	177555	177035	177150	113839	425083	1
2026.07.15	14:00:00	177145	177405	177140	177210	76851	282145	1
2026.07.15	14:15:00	177210	177540	177150	177515	80179	307871	1
2026.07.15	14:30:00	177515	177770	177495	177755	96873	389506	1
2026.07.15	14:45:00	177755	177945	177735	177825	79927	311930	1
2026.07.15	15:00:00	177825	177955	177685	177860	76147	291011	1
2026.07.15	15:15:00	177860	177970	177775	177930	60055	224764	1
2026.07.15	15:30:00	177930	178050	177825	177855	66928	252847	1
2026.07.15	15:45:00	177850	177920	177790	177810	44414	175663	1
2026.07.15	16:00:00	177805	178020	177785	177990	46751	176931	1
2026.07.15	16:15:00	177990	178080	177935	177995	48764	182940	1
2026.07.15	16:30:00	177995	178005	177715	177780	64779	251112	1
2026.07.15	16:45:00	177780	177810	177665	177695	47894	193856	1
2026.07.15	17:00:00	177695	177945	177690	177795	54127	233433	1
2026.07.15	17:15:00	177800	177800	177610	177650	29940	111279	1
2026.07.15	17:30:00	177650	177765	177645	177710	21784	72265	1
2026.07.15	17:45:00	177710	177790	177645	177715	20289	64607	1
2026.07.15	18:00:00	177720	177920	177670	177870	29026	74491	1
2026.07.15	18:15:00	177870	177920	177725	177920	13450	54758	1
2026.07.16	09:00:00	177505	178765	177505	178040	409890	1118551	1
2026.07.16	09:15:00	178040	178225	177600	177705	200972	609777	1
2026.07.16	09:30:00	177705	177770	177385	177495	194665	606883	1
2026.07.16	09:45:00	177495	177655	177240	177305	163862	513420	1
2026.07.16	10:00:00	177310	177365	176580	176900	310232	993670	1
2026.07.16	10:15:00	176895	177085	176550	176610	265781	892034	1
2026.07.16	10:30:00	176610	176650	175410	175435	386778	1313770	1
2026.07.16	10:45:00	175435	175795	175415	175705	198212	674347	1
2026.07.16	11:00:00	175700	176485	175650	176390	234209	823771	1
2026.07.16	11:15:00	176390	176415	176040	176320	168868	585078	1
2026.07.16	11:30:00	176320	176500	176155	176450	133727	471767	1
2026.07.16	11:45:00	176455	176870	176420	176635	182651	669448	1
2026.07.16	12:00:00	176630	176650	176340	176490	149143	549757	1
2026.07.16	12:15:00	176490	176815	176455	176655	101501	349611	1
2026.07.16	12:30:00	176655	176850	176490	176685	103428	372105	1
2026.07.16	12:45:00	176680	176835	176580	176720	71439	261820	1
2026.07.16	13:00:00	176720	176775	176385	176430	96495	360137	1
2026.07.16	13:15:00	176430	176455	176195	176305	88354	333718	1
2026.07.16	13:30:00	176310	176410	176275	176360	61013	234348	1
2026.07.16	13:45:00	176355	176375	176060	176105	82079	321602	1
2026.07.16	14:00:00	176105	176145	175620	175625	132563	530032	1
2026.07.16	14:15:00	175630	175760	175535	175710	81184	321492	1
2026.07.16	14:30:00	175710	175800	175545	175620	69596	276338	1
2026.07.16	14:45:00	175625	175760	175355	175450	87313	336342	1
2026.07.16	15:00:00	175455	175555	175160	175510	108458	419394	1
2026.07.16	15:15:00	175515	175575	175400	175420	65400	262901	1
2026.07.16	15:30:00	175420	175430	175260	175380	69558	266826	1
2026.07.16	15:45:00	175375	175530	175325	175390	69792	279278	1
2026.07.16	16:00:00	175395	175435	175260	175325	52680	212308	1
2026.07.16	16:15:00	175325	175445	175270	175345	51616	202657	1
2026.07.16	16:30:00	175345	175360	175205	175270	53493	211993	1
2026.07.16	16:45:00	175270	175450	175210	175435	58247	239786	1
2026.07.16	17:00:00	175435	175520	175310	175335	53948	216049	1
2026.07.16	17:15:00	175335	175365	175260	175265	24406	89354	1
2026.07.16	17:30:00	175265	175335	175100	175280	47283	164457	1
2026.07.16	17:45:00	175275	175365	175205	175275	27410	88789	1
2026.07.16	18:00:00	175270	175290	175165	175185	20163	53062	1
2026.07.16	18:15:00	175180	175270	175140	175255	17663	63617	1
2026.07.17	09:00:00	174550	175650	174515	175315	383288	1075409	1
2026.07.17	09:15:00	175320	175480	174940	175055	217347	660867	1
2026.07.17	09:30:00	175050	175440	174875	175315	219142	698242	1
2026.07.17	09:45:00	175320	175460	175170	175295	130857	420352	1
2026.07.17	10:00:00	175290	175390	174945	175180	305639	1010009	1
2026.07.17	10:15:00	175175	175475	174790	175235	291504	993834	1
2026.07.17	10:30:00	175230	175650	175060	175250	338441	1107466	1
2026.07.17	10:45:00	175255	175890	175100	175755	246179	848336	1
2026.07.17	11:00:00	175765	175795	175075	175240	210225	734395	1
2026.07.17	11:15:00	175245	175535	175230	175395	136722	477552	1
2026.07.17	11:30:00	175395	175595	175315	175400	112047	399791	1
2026.07.17	11:45:00	175395	175785	175370	175675	133104	485181	1
2026.07.17	12:00:00	175670	175825	175475	175760	112388	413821	1
